publisher,series title,issue title,cover image,description,writers,artists,inkers,colorists,pages,release date
Lion Forge Comics,Catalyst Prime: Accell,Accell #7,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/627456/627456._SX360_QL80_TTD_.jpg,"After taking a beating from the mercenary Midnight Blue, Accells life as a super speedster is fractured between science and mysticism. An old friend returns from the spirit realm to guide Accell on the right path, while scientist Althea Morrison works with the hero to figure out just how fast he can go. The worlds first public superhero is about to have his perceptions of life torn apart at breakneck speed.",Joe Casey,Damion Scott,,,32 Pages,January 10 2018
Lion Forge Comics,Catalyst Prime: Astonisher,This is part of a collected edition,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/627446/627446._SX360_QL80_TTD_.jpg,"To save his celebrity reputation after a near-death experience, Magnus Attarian became the worlds newest meteor-powered superhero, The Astonisher . . . and its been a colossal failure.   Now recovering from brain trauma in a mental facility, one of Magnuss enemies has returned to kill Magnus and prevent him from interfering with a plan to control all of Earths new superpowered people.",Alex de Campi,Pop Mhan,,,32 Pages,January 10 2018
TidalWave Productions,Fame,Fame: Cristiano Ronaldo,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/572052/572052._SX360_QL80_TTD_.jpg,"Cristiano Ronaldo dos Santos Aveiro rose from poverty in Portugal to become one of the wealthiest men to ever play football. His father, a poor gardener who drank too much, and his mother, who waited tables and other odd jobs to provide care for four children, recognized his talent early and pulled him from school at a young age so he could devote his boundless energy to the game he loved. Wearing the number seven worn by David Beckham, Ronaldos speed, footwork, and skills as a forward and a winger have forged him one of the sports most respected players of all time.",Michael L. Frizell,Angel Luis Bernuy,,,24 Pages,January 10 2018
Zenescope,Van Helsing vs. Robyn Hood,Van Helsing vs. Robyn Hood #1,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/622893/622893._SX360_QL80_TTD_.jpg,ZENESCOPE CO-FOUNDER & WRITER RALPH TEDESCO SETS VAN HELSING AND ROBYN HOOD ON A COLLISION COURSE THAT WILL SHAKE THE UNIVERSE TO ITS CORE! Robyn and Liesel learn that theyre each separately on the trail of a seedy crime boss whos experimenting on humans while developing an extremely dangerous designer drug. But neither Robyn nor Liesel is prepared for what theyll uncover as the two long-time friends find themselves face to face in an epic battle to the death!,Ralph Tedesco,Allan Otero,,Leonardo Paciarotti,25 Pages,January 10 2018
DC,Batman & the Signal (2017-),Batman & the Signal (2018-) #1,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/575821/575821._SX360_QL80_TTD_.jpg,"Batman may own the night, but with new villains emerging during the day he needs an ally to defend the city when he can’t. Only one teen is up to the challenge, Duke Thomas. After months of training, he’s ready to step out of the shadow of the bat to become his own kind of hero. Meet Gotham City’s newest protector: The Signal! Spinning out of adventures in ALL-STAR BATMAN and WE ARE ROBIN, comics superstar Scott Snyder and newcomer Tony Patrick take our young hero to new heights in this exciting miniseries with artwork by Cully Hamner.","Tony Patrick, Scott Snyder",Cully Hamner,Cully Hamner,Laura Martin,30 Pages,January  3 2018
Marvel,Rogue & Gambit (2018),Rogue & Gambit (2018) #1 (of 5),https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/598150/598150._SX360_QL80_TTD_.jpg,"Everybodys favorite X-couple is reunited! And boy, are they not happy about that… Kitty Pryde must send Rogue and Gambit on an undercover mission to find a group of kidnapped mutants. What they discover on this mission will shock them. But will it also bring them closer together…? Its a high-stakes adventure caper that only the two hottest X-Men can deliver!",Kelly Thompson,Pere Perez,,,22 Pages,January  3 2018
Dark Horse,Mages of Mystralia,Mages of Mystralia,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/582880/582880._SX360_QL80_TTD_.jpg,"Mages of Mystralia ties into the highly anticipated video game from Borealys Games and is written by Eisner-award nominee Brian Clevinger, with art by Carey Pietsch, and based on a story by Forgotten Realms® creator Ed Greenwood! 

When a deadly plague spreads through the kingdom of Mystralia and kills the reigning monarchs, an inexperienced young mage ascends the throne. Desperate for knowledge of the highest forms of magic and hungry for power, he becomes a bloodthirsty tyrant. His own four battle captains step up to oppose him, but will they stop him before he destroys the entire kingdom?",Brian Clevinger,Carey Pietsch,,,81 Pages,January  2 2018
Valiant,Secret Weapons,Secret Weapons #0,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/616571/616571._SX360_QL80_TTD_.jpg,"Before the fall of the Harbinger Foundation… Before the opening pages of SECRET WEAPONS #1… Academy Award-nominated writer Eric Heisserer (Arrival) and legendary artist Adam Pollina (X-Force) present all-new, standalone prelude to the year’s best-selling independent limited series!   Meet high school senior Nikki Finch… She’s a gifted athlete with an unusual set of medical ailments and high-aptitude test scores that have drawn the attention of an obscure and little-known NGO calling itself the Harbinger Foundation. With seemingly limitless resources at its disposal, the Harbinger Foundation has just offered Nikki a place in their newest class of recruits for a prestigious, but secretive, mission: to unlock her hidden potential via the invasive, dangerous and often deadly process known as “psiot activation”...   If they succeed, Nikki could become an extraordinary example of Toyo Harada’s vision for the future of post-human biological superiority. If they fail, she’ll likely die on the operating table…or be locked away for future study in the mysterious research facility known as The Willows…   An essential new chapter in the Harbinger mythos is about to be revealed as Nikki Finch – a future founding member of Livewire’s squadron of misfit telekinetics – relives the never-before-told saga of her recruitment and activation at the hands of Toyo Harada’s Harbinger Foundation in a must-read standalone special from two of Valiant’s most accomplished storytellers!",Eric Heisserer,Adam Pollina,,,33 Pages,January  3 2018
Titan,Doctor Who: The Twelfth Doctor,Doctor Who: The Twelfth Doctor #3.11,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/581352/copyOfFirstPage._SX360_QL80_TTD_.jpg,"The Doctor and Bill are trapped between two dire opposing forces that should never have been brought together! Its going to take all their ingenuity to survive, never mind defeat the threat!",Richard Dinnick,Pasquale Qualano,,,28 Pages,December 20 2017
Image - Shadowline,Rat Queens,Rat Queens (2017-) #7,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/596495/596495._SX360_QL80_TTD_.jpg,"“THE COLOSSAL MAGIC NOTHING,” Part TwoEven with all the random disappearances around Palisade, there’s still a lot of work to do! A pack of ravenous, drunken monsters lurk in the woods outside of town, and the Queens are only partly to blame!",Kurtis J Wiebe,Owen Gieni,,,28 Pages,January  3 2018
IDW,Transformers vs. The Visionaries,Transformers vs. The Visionaries #1,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/579257/579257._SX360_QL80_TTD_.jpg,"Cybertron has been invaded. The Transformers encounter unwelcome guests at the heart of Cybertron—and they may not have their hosts best interests at heart. Refugees from another world, the Visionaries startling magical abilities could make them powerful allies... or dangerous enemies.",Magdalene Visaggio,Fico Ossio,,,35 Pages,January  3 2018
Dynamite,The Shadow/Batman,The Shadow/Batman #4,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/617543/617543._SX360_QL80_TTD_.jpg,"The veins of the Silent Seven have bore their way into the very heart of modern society. Their every move can be hidden, and there is no move that can be made in secret from them. And that includes Batman and the Shadow. When one of the Seven invades Wayne Manor, a horrifying revelation casts Batmans entire mission in doubt. The only one that can save him? The Shadow. But can the Master of Men liberate both Wayne Manor and the Dark Knights mind without losing his own?",Steve Orlando,Giovanni Timpano,,,29 Pages,January  3 2018
BOOM! - BOOM! Box,Giant Days,Giant Days #34,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/619806/619806._SX360_QL80_TTD_.jpg,Ed’s mysterious past is revealed! There may be alcohol involved.,John Allison,"Liz Fleming, Max Sarin",,"Whitney Cogar, Kieran Quigley",30 Pages,January  3 2018
Archie - Archie Horror,Chilling Adventures of Sabrina,Chilling Adventures in Sorcery,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/619114/619114._SX360_QL80_TTD_.jpg,"Presented by Sabrina the Teenage Witch, this collection features some of the most horrifying classic stories to ever be published by Archie Comics, collected for the first time in graphic novel. Featuring an all-new cover by comic artist extraordinaire Francesco Francavilla (Afterlife With Archie)!",Various,Various,,,192 Pages,January  3 2018
Marvel,Star Wars (2015-),This is part of a collected edition,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/598195/598195._SX360_QL80_TTD_.jpg,"The Leviathan is heading for the remains of Jedha, prepared to pick the carcass of the once-holy planet clean. But with Luke Skywalker torn between his allegiance to the Rebellion and pursuing the path of a Jedi, who will lead the charge against the Empire?",Kieron Gillen,Salvador Larroca,,,23 Pages,January  3 2018
DC,Superman (2016-),Superman (2016-) #38,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/606579/606579._SX360_QL80_TTD_.jpg,"“SUPER SONS OF TOMORROW” finale! With no other choice left, the Batman of Tomorrow brings in the Titans of Tomorrow to take on today’s Teen Titans—as the life of Superman’s son hangs in the balance! See the return of future Superman Conner Kent, Wonder Woman Cassie Sandsmark and Bart Allen Flash in the final battle of this epic crossover.","Patrick Gleason, Peter J. Tomasi","Ed Benes, Sergio Fernandez Davila","Ed Benes, Vicente Cifuentes","Gabe Eltaeb, Dinei Ribeiro",28 Pages,January  3 2018
Action Lab,Miraculous: Adventures of Ladybug and Cat Noir.,Miraculous: Adventures of Ladybug and Cat Noir #4,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/597700/597700._SX360_QL80_TTD_.jpg,The Trash Krakken Part 3 The final chapter of Ladybug and Cat Noir’s New York adventure! Can the superheroes of Paris survive New York City and the Trash Krakken that wants to tear it apart?,"Thomas Astruc, Mélanie Duval, Frédéric Lenoir, Bryan Seaton, Sébastien Thibaudeau",Brian Hess,,,25 Pages,October 25 2017
Action Lab,Shinobi: Ninja Princess,Shinobi Ninja Princess: Lightning Oni Vol. 2,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/620957/620957._SX360_QL80_TTD_.jpg,"IT’S STEEL VERSES LIGHTNING IN THE SECOND CHAPTER OF THE NINJA PRINCESS SAGA! After the capture and narrow escape of fourteen year old ninja-in-training, Shainndrea, the Toshigawa Ninja Clan has been forced to move to a new secret base further on the outskirts of Osaka. The evil Red Dragon has taken leadership of the rival Azumi Ninja Clan and is determined to fulfill the contract to capture Shianndrea at any and all costs. Now, with her new commanders in place, the stage is set for the Red Dragon to reveal her most powerful Oni yet, Yawata, the embodiment of war with the powers of lightning. However, Yawata has his own agenda and capture is the furthest from his mind.",Martheus Wade,"Gene Fayne, Janet Wade, Martheus Wade, Martheus Wade",Janet Wade,"Gene Fayne, Janet Wade",123 Pages,January 17 2018
Action Lab - Danger Zone,Puppet Master,Puppet Master Vol. 6: Curtain Call,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/620962/620962._SX360_QL80_TTD_.jpg,"The final chapter of Action Lab’s epic Puppet Master story starts now! Everything from the past two years comes to a head as the demon god Anapa makes one final play at world domination! Can Andre Toulon’s puppets stop him, let alone survive??",Shawn Gabborin,Daniel J. Logan,,Yann Perrelet,88 Pages,January  3 2018
Archie,Archie Comics Double Digest,Archie Comics Double Digest #285,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/605629/605629._SX360_QL80_TTD_.jpg,"""Ready! Set! Go!"" -- Even a snowstorm cant stop the kids in Riverdale from playing the popular phone app Cosmo Go! Will Archie get in on the craze or be left out in the cold?",Various,Various,,,182 Pages,January  3 2018
Archie,Cosmo,Cosmo #1,https://images-na.ssl-images-amazon.com/images/S/cmx-images-prod/Item/605624/605624._SX360_QL80_TTD_.jpg,"NEW ONGOING SERIES! ""Space Aces"" – Part One: Cosmo is a Martian with the skills of a warrior and a heart of gold. Hes the leader of his M.A.R.S. unit that explores the solar system. What was meant to be a routine scouting mission turns into a much larger adventure Cosmo and his friends stumble upon a panicked human and encounter some ferocious foes!",Ian Flynn,"Matt Herms, Jack Morelli, Tracy Yardley",,,25 Pages,January  3 2018
